,City,Lat,Lng,Country,Date,Max Temp(°F) ,Humidity(%),Cloudiness(%),Wind Speed(mph),Max Temp,Humidity,Cloudiness,Wind Speed
1,sychevka,55.83,34.27,RU,1551656382,,,,,25.6,96.0,80.0,2.95
3,ishim,56.11,69.47,RU,1551656383,,,,,29.29,92.0,88.0,20.96
4,den helder,52.96,4.76,NL,1551656332,,,,,55.0,81.0,75.0,28.86
5,ilinskiy,55.62,38.12,RU,1551654000,,,,,21.2,92.0,0.0,4.47
6,sopelana,43.38,-2.98,ES,1551656284,,,,,62.6,45.0,0.0,18.34
7,krasnoborsk,61.56,45.93,RU,1551656384,,,,,-5.91,69.0,0.0,3.06
8,zhaoyang,42.68,126.03,CN,1551656384,,,,,36.31,62.0,48.0,3.18
9,zapadnaya dvina,56.26,32.09,RU,1551656128,,,,,29.11,91.0,92.0,8.21
10,rtishchevo,52.26,43.79,RU,1551656385,,,,,23.44,91.0,88.0,17.72
12,wattegama,7.35,80.68,LK,1551656385,,,,,66.5,96.0,24.0,2.73
13,viking,53.1,-111.78,CA,1551656386,,,,,-2.13,78.0,0.0,11.23
15,djambala,-2.55,14.76,CG,1551656387,,,,,68.08,96.0,36.0,6.53
16,nara,34.68,135.8,JP,1551655865,,,,,51.01,100.0,75.0,2.24
17,casper,42.87,-106.31,US,1551656118,,,,,8.01,60.0,40.0,8.05
18,boone,36.22,-81.67,US,1551656343,,,,,46.99,100.0,1.0,0.38
19,kichera,55.93,110.1,RU,1551656388,,,,,7.1,70.0,0.0,2.95
20,ahraura,25.02,83.02,IN,1551652200,,,,,59.0,87.0,40.0,2.24
21,paso de los toros,-32.81,-56.52,UY,1551656389,,,,,71.77,64.0,0.0,12.46
22,coxim,-18.5,-54.75,BR,1551656389,,,,,77.35,75.0,12.0,3.29
23,monchegorsk,67.94,32.93,RU,1551656389,,,,,-9.6,64.0,32.0,2.39
24,morris,41.36,-88.42,US,1551656107,,,,,19.4,44.0,1.0,13.87
25,nevelsk,46.67,141.86,RU,1551654000,,,,,12.2,92.0,64.0,8.21
26,boundiali,9.53,-6.48,CI,1551656393,,,,,69.34,31.0,0.0,8.77
27,junagarh,19.86,82.94,IN,1551656394,,,,,66.1,96.0,24.0,2.51
28,stryn,61.9,6.72,NO,1551656359,,,,,37.99,92.0,0.0,14.99
29,atasu,48.68,71.64,KZ,1551656395,,,,,31.13,90.0,88.0,15.7
30,vinhedo,-23.03,-46.98,BR,1551655938,,,,,73.99,94.0,75.0,8.05
31,kalanguy,51.01,116.52,RU,1551656396,,,,,13.72,67.0,64.0,3.06
32,barpeta,26.33,91.01,IN,1551654000,,,,,64.4,77.0,75.0,3.36
33,tres arroyos,-38.38,-60.28,AR,1551656136,,,,,73.57,55.0,92.0,15.48
34,vung tau,10.35,107.08,VN,1551656397,,,,,76.99,100.0,0.0,7.2
35,leon,40.74,-93.75,US,1551655916,,,,,5.0,54.0,1.0,13.87
36,jinan,36.65,117.11,CN,1551656398,,,,,35.36,77.0,0.0,5.3
37,cherepanovo,54.23,83.37,RU,1551656398,,,,,29.78,91.0,80.0,10.45
38,petatlan,17.52,-101.27,MX,1551653340,,,,,86.0,66.0,5.0,11.41
39,villacarrillo,38.12,-3.08,ES,1551656399,,,,,40.9,85.0,8.0,5.53
40,bo phloi,14.32,99.52,TH,1551655957,,,,,86.0,70.0,0.0,3.62
